Using device: cuda
开始训练...
Episode 20, 追击星奖励: -15675.50, 逃逸星奖励: 15675.61, 平均捕获率 (last20): 0.00, 终端距离: 47343.53, 终止原因: {'捕获': np.False_, '距离': np.float32(47343.527), '时间': 851.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 40, 追击星奖励: -6107.55, 逃逸星奖励: 6150.85, 平均捕获率 (last20): 0.00, 终端距离: 29112.93, 终止原因: {'捕获': np.False_, '距离': np.float32(29112.93), '时间': 571.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 60, 追击星奖励: -5402.42, 逃逸星奖励: 5402.42, 平均捕获率 (last20): 0.00, 终端距离: 12293.17, 终止原因: {'捕获': np.False_, '距离': np.float32(12293.17), '时间': 767.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 80, 追击星奖励: -3674.72, 逃逸星奖励: 3674.72, 平均捕获率 (last20): 0.00, 终端距离: 4954.57, 终止原因: {'捕获': np.False_, '距离': np.float32(4954.566), '时间': 904.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 100, 追击星奖励: -9103.54, 逃逸星奖励: 9109.43, 平均捕获率 (last20): 0.00, 终端距离: 25297.48, 终止原因: {'捕获': np.False_, '距离': np.float32(25297.477), '时间': 572.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 120, 追击星奖励: -9809.83, 逃逸星奖励: 9818.06, 平均捕获率 (last20): 0.00, 终端距离: 33013.14, 终止原因: {'捕获': np.False_, '距离': np.float32(33013.145), '时间': 598.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 140, 追击星奖励: -1955.36, 逃逸星奖励: 1955.36, 平均捕获率 (last20): 0.00, 终端距离: 3559.21, 终止原因: {'捕获': np.False_, '距离': np.float32(3559.2065), '时间': 790.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 160, 追击星奖励: -2410.73, 逃逸星奖励: 2410.73, 平均捕获率 (last20): 0.00, 终端距离: 5134.33, 终止原因: {'捕获': np.False_, '距离': np.float32(5134.327), '时间': 843.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 180, 追击星奖励: -1889.42, 逃逸星奖励: 1891.40, 平均捕获率 (last20): 0.00, 终端距离: 3533.49, 终止原因: {'捕获': np.False_, '距离': np.float32(3533.4922), '时间': 787.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 200, 追击星奖励: -1429.52, 逃逸星奖励: 1454.64, 平均捕获率 (last20): 0.05, 终端距离: 1066.50, 终止原因: {'捕获': np.False_, '距离': np.float32(1066.4977), '时间': 722.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 220, 追击星奖励: -1915.15, 逃逸星奖励: 1915.15, 平均捕获率 (last20): 0.00, 终端距离: 3781.58, 终止原因: {'捕获': np.False_, '距离': np.float32(3781.5786), '时间': 922.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 240, 追击星奖励: 1448.44, 逃逸星奖励: -1379.60, 平均捕获率 (last20): 0.15, 终端距离: 93.62, 终止原因: {'捕获': np.True_, '距离': np.float32(93.619156), '时间': 593.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 260, 追击星奖励: -1821.95, 逃逸星奖励: 1821.95, 平均捕获率 (last20): 0.05, 终端距离: 4608.45, 终止原因: {'捕获': np.False_, '距离': np.float32(4608.451), '时间': 794.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 280, 追击星奖励: -922.53, 逃逸星奖励: 922.53, 平均捕获率 (last20): 0.00, 终端距离: 2956.31, 终止原因: {'捕获': np.False_, '距离': np.float32(2956.3147), '时间': 762.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 300, 追击星奖励: -1150.03, 逃逸星奖励: 1150.48, 平均捕获率 (last20): 0.05, 终端距离: 2474.55, 终止原因: {'捕获': np.False_, '距离': np.float32(2474.5452), '时间': 781.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 320, 追击星奖励: -1807.94, 逃逸星奖励: 1807.94, 平均捕获率 (last20): 0.05, 终端距离: 9495.62, 终止原因: {'捕获': np.False_, '距离': np.float32(9495.622), '时间': 809.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 340, 追击星奖励: -1079.04, 逃逸星奖励: 1079.04, 平均捕获率 (last20): 0.00, 终端距离: 2478.12, 终止原因: {'捕获': np.False_, '距离': np.float32(2478.1213), '时间': 915.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 360, 追击星奖励: 1544.92, 逃逸星奖励: -1467.45, 平均捕获率 (last20): 0.15, 终端距离: 98.01, 终止原因: {'捕获': np.True_, '距离': np.float32(98.00944), '时间': 465.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 380, 追击星奖励: -786.72, 逃逸星奖励: 786.72, 平均捕获率 (last20): 0.10, 终端距离: 4547.05, 终止原因: {'捕获': np.False_, '距离': np.float32(4547.052), '时间': 850.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
