
Episode 20, Pursuer Reward: -14466.49, Evader Reward: 14466.49, Capture Rate (last20): 0.00, Final Dist: 44873.16
Episode 40, Pursuer Reward: -10724.24, Evader Reward: 10724.24, Capture Rate (last20): 0.00, Final Dist: 25510.24
Episode 60, Pursuer Reward: -13780.35, Evader Reward: 13780.35, Capture Rate (last20): 0.00, Final Dist: 46097.70
Episode 80, Pursuer Reward: -15963.08, Evader Reward: 15967.83, Capture Rate (last20): 0.00, Final Dist: 57016.05
Episode 100, Pursuer Reward: -10069.76, Evader Reward: 10069.76, Capture Rate (last20): 0.00, Final Dist: 28343.48
Episode 120, Pursuer Reward: -6508.35, Evader Reward: 6513.76, Capture Rate (last20): 0.00, Final Dist: 29687.20
Episode 140, Pursuer Reward: -12471.58, Evader Reward: 12477.90, Capture Rate (last20): 0.00, Final Dist: 40089.64
Episode 160, Pursuer Reward: -10582.95, Evader Reward: 10600.58, Capture Rate (last20): 0.00, Final Dist: 31265.28
Episode 180, Pursuer Reward: -7684.13, Evader Reward: 7706.34, Capture Rate (last20): 0.00, Final Dist: 15629.21
Episode 200, Pursuer Reward: -17982.79, Evader Reward: 17982.79, Capture Rate (last20): 0.00, Final Dist: 46894.36
Episode 220, Pursuer Reward: -3641.44, Evader Reward: 3641.44, Capture Rate (last20): 0.00, Final Dist: 8490.64
Episode 240, Pursuer Reward: -4595.38, Evader Reward: 4612.88, Capture Rate (last20): 0.00, Final Dist: 14826.28
Episode 260, Pursuer Reward: -8468.84, Evader Reward: 8486.24, Capture Rate (last20): 0.00, Final Dist: 37387.09
Episode 280, Pursuer Reward: -3683.60, Evader Reward: 3706.07, Capture Rate (last20): 0.00, Final Dist: 11681.82
Episode 300, Pursuer Reward: -2865.14, Evader Reward: 2882.66, Capture Rate (last20): 0.00, Final Dist: 7360.47
Episode 320, Pursuer Reward: -3004.62, Evader Reward: 3011.04, Capture Rate (last20): 0.00, Final Dist: 7813.61
Episode 340, Pursuer Reward: -3383.36, Evader Reward: 3402.99, Capture Rate (last20): 0.00, Final Dist: 14024.87
Episode 360, Pursuer Reward: -5800.86, Evader Reward: 5800.86, Capture Rate (last20): 0.00, Final Dist: 30850.60
Episode 380, Pursuer Reward: -3474.37, Evader Reward: 3474.37, Capture Rate (last20): 0.00, Final Dist: 6604.85
Episode 400, Pursuer Reward: -6429.61, Evader Reward: 6429.61, Capture Rate (last20): 0.00, Final Dist: 15518.87
Episode 420, Pursuer Reward: -4168.46, Evader Reward: 4168.46, Capture Rate (last20): 0.00, Final Dist: 19078.37
Episode 440, Pursuer Reward: -6220.74, Evader Reward: 6220.74, Capture Rate (last20): 0.00, Final Dist: 10609.25
Episode 460, Pursuer Reward: -2051.62, Evader Reward: 2070.30, Capture Rate (last20): 0.00, Final Dist: 6690.33
Episode 480, Pursuer Reward: -4339.45, Evader Reward: 4339.45, Capture Rate (last20): 0.00, Final Dist: 8727.05
Episode 500, Pursuer Reward: -6612.02, Evader Reward: 6612.02, Capture Rate (last20): 0.00, Final Dist: 17645.99
Episode 520, Pursuer Reward: -4340.70, Evader Reward: 4340.70, Capture Rate (last20): 0.00, Final Dist: 10939.47
Episode 540, Pursuer Reward: -3477.05, Evader Reward: 3477.05, Capture Rate (last20): 0.00, Final Dist: 8222.70
Episode 560, Pursuer Reward: -2844.98, Evader Reward: 2846.46, Capture Rate (last20): 0.00, Final Dist: 6553.55
Episode 580, Pursuer Reward: -1749.34, Evader Reward: 1749.34, Capture Rate (last20): 0.00, Final Dist: 4909.74
Episode 600, Pursuer Reward: -2317.78, Evader Reward: 2328.99, Capture Rate (last20): 0.00, Final Dist: 11634.98
Episode 620, Pursuer Reward: -3694.74, Evader Reward: 3706.12, Capture Rate (last20): 0.00, Final Dist: 6604.50
Episode 640, Pursuer Reward: -5728.45, Evader Reward: 5728.45, Capture Rate (last20): 0.00, Final Dist: 21001.81
Episode 660, Pursuer Reward: -4625.75, Evader Reward: 4640.89, Capture Rate (last20): 0.00, Final Dist: 17543.02
Episode 680, Pursuer Reward: -3474.68, Evader Reward: 3474.68, Capture Rate (last20): 0.05, Final Dist: 8424.84
Episode 700, Pursuer Reward: -4056.73, Evader Reward: 4056.73, Capture Rate (last20): 0.00, Final Dist: 23650.72
Episode 720, Pursuer Reward: -2500.64, Evader Reward: 2500.64, Capture Rate (last20): 0.00, Final Dist: 9941.76
Episode 740, Pursuer Reward: -6107.60, Evader Reward: 6107.60, Capture Rate (last20): 0.00, Final Dist: 13416.86
Episode 760, Pursuer Reward: -3379.89, Evader Reward: 3388.87, Capture Rate (last20): 0.00, Final Dist: 9242.93
Episode 780, Pursuer Reward: -5658.56, Evader Reward: 5658.56, Capture Rate (last20): 0.00, Final Dist: 16425.77
Episode 800, Pursuer Reward: -3042.75, Evader Reward: 3042.75, Capture Rate (last20): 0.00, Final Dist: 3278.97
